user_name,movie,rating
svalentinob1,14,4
pgaynorb2,43,2
gdumphyb3,99,1
ndrowsfieldb4,22,4
lfilkinb5,79,6
nwandlessb6,35,2
curionb7,51,6
amallisonb8,99,3
jbursnallb9,80,3
bbenfellba,58,2
ccraftbb,22,2
kgabbybc,37,5
yhackinbd,11,2
smilwardbe,25,5
tpabelbf,81,4
wcazereaubg,33,2
kpeatbh,70,4
bgillmorebi,96,6
adraytonbj,14,5
kreyesbk,73,3
mmoulebl,27,3
bwarinbm,72,5
dzottolibn,80,4
fhartnessbo,67,4
lhindshawbp,40,4
cguildfordbq,75,2
scasollabr,18,4
ttreadgearbs,42,5
cholleybt,51,2
linnocentbu,75,5
fcazaletbv,8,6
agatherellbw,80,6
ustanyanbx,7,6
emardellby,8,3
jdoughillbz,37,1
hrobeiroc0,26,5
vovisec1,6,6
kmityukovc2,35,3
cpritchettc3,9,4
lmccrohonc4,94,2
kmillierec5,45,2
vhultbergc6,3,3
wsawdonc7,65,3
ekitchingc8,42,5
pmacgaughyc9,15,6
jrudolferca,39,3
btapsfieldcb,37,3
zsloyancc,47,3
jkerblercd,9,4
aplumbce,41,6
gcollingscf,88,4
sdahmelcg,43,5
ckhominch,42,2
stayloci,45,1
beliecj,48,4
ttomlinck,2,2
ekayleycl,37,3
iscottcm,64,6
egraysmarkcn,44,4
eemmottco,6,4
lgladwishcp,59,6
dsimkacq,80,6
cseviourcr,45,2
ksheracs,81,6
dyakovlivct,48,2
rjopkecu,1,5
elevicv,40,2
blempertzcw,94,5
scheetamcx,7,4
mwilkinsoncy,6,4
bflorencecz,88,3
phinzerd0,83,1
blamanbyd1,100,4
abrendishd2,91,4
jwintd3,85,3
lpadelld4,48,4
tsuddockd5,69,2
rbrunnsteind6,87,3
fcorryerd7,46,6
wrestalld8,21,1
cpiwalld9,32,5
otarrierda,49,4
mteresidb,8,2
dfootdc,83,1
kskelingtondd,83,4
mlivezleyde,37,6
clondorsdf,8,4
olyvondg,38,2
fedinborodh,85,3
obrayforddi,79,6
sclapsondj,11,1
sgopsilldk,54,5
ccoulthurstdl,46,5
srosdm,31,4
fwozencraftdn,32,1
hvamplewdo,90,4
rcherrydp,42,3
mhargessdq,68,1
ggillebertdr,57,4
ciddiensds,68,4
gtomikdt,33,1
jtwelvesdu,45,4
fkybbyedv,43,3
imunnsdw,49,2
ugidneydx,97,6
sarmesdy,50,1
mcalldz,98,6
dtrevnae0,24,1
blympeniee1,40,4
mscirmane2,97,6
jlansdowne3,70,4
tgreenliese4,63,3
nblivene5,14,6
tweedene6,62,1
egrattane7,10,2
bcracke8,95,4
myellowleese9,96,6
irummerea,12,5
cfleethameb,27,3
wparnellec,37,4
pgoobleed,9,3
ldanielssonee,99,2
kreimeref,58,1
stoselandeg,64,2
hhookeeh,80,6
amelburgei,42,4
bernshawej,68,3
clisterek,34,6
ceskrietel,47,4
mpowrieem,34,2
dmcgaffeyen,54,4
ajekeleo,31,1
mgoultep,38,6
lmaccomeeq,8,5
smuncerer,59,1
wsteketeees,88,4
cbarkeet,57,1
glonsbrougheu,87,4
dnancarrowev,1,4
gpresserew,14,1
xbeirneex,20,5
ckennawayey,75,2
efairbourneez,15,6
hmcskinf0,21,6
kjeef1,1,4
wlightenf2,21,4
csilversonf3,56,5
wlaurensonf4,22,4
ssherf5,10,1
dcullingfordf6,43,6
qcowupf7,22,5
egilardif8,64,6
ccorkhillf9,56,4
cchaneyfa,26,4
anorthagefb,62,3
mdranfc,57,4
ckohnenfd,85,5
crosensaftfe,21,6
gtyasff,86,3
llyonfg,63,6
ecastanafh,62,1
eheinkefi,85,1
lcoppenhallfj,60,6
btrinemanfk,19,6
mjunkinfl,61,2
mlathomfm,27,5
brappfn,29,6
obuttenfo,23,3
dmericfp,75,2
ahuntleyfq,75,5
areicharzfr,21,1
kcarbryfs,48,5
aberriganft,47,3
agippfu,61,5
spittendreighfv,92,3
aworshallfw,74,1
lverlanderfx,43,3
nmcilvennyfy,17,1
ofairbracefz,83,1
bsarjantg0,47,3
csandarsg1,48,4
lheavensg2,24,1
igemlettg3,21,4
cbaptieg4,14,2
jjanksg5,72,4
tmaytumg6,89,1
ptitfordg7,49,5
bgynnig8,78,5
gepgraveg9,19,4
ltrigglega,54,4
mdillingstongb,79,5
ngleygc,36,6
bcokegd,43,4
mzylberdikge,12,1
dpumphreysgf,44,5
kclevergg,25,6
lhapsgh,73,1
dsigwardgi,42,3
mbubeargj,83,5
achunggk,71,2
bmacmurraygl,90,3
dempletongm,65,1
klathleiffgn,79,3
lcaldrongo,34,3
edealeygp,87,2
mpetrellogq,67,5
aberkerygr,1,6
jdoellegs,43,4
ahawtrygt,43,5
dmcquakergu,42,3
wsturneygv,80,6
cthebesgw,70,5
kkibbeegx,99,1
cborsaygy,65,2
dspringettgz,4,1
pcalanh0,20,4
chearth1,9,3
dnorvalh2,15,2
bblazhevichh3,56,3
dmarchingtonh4,77,3
dtabourh5,20,6
mrozalskih6,74,6
mmcgennish7,7,1
sristh8,55,4
dlachezeh9,51,6
gkrahlha,70,2
dmaciunashb,78,5
saldinhc,46,2
gbiddlestonehd,41,2
scouronnehe,43,2
aspowarthf,49,1
cvoletthg,23,6
sspittlehh,20,5
smacpadenehi,44,1
ymaccreehj,38,3
babbottshk,44,2
dmcguirehl,5,4
mlardnerhm,19,6
dmacclurehn,86,2
snicklinsonho,90,6
cjellicohp,39,6
jbaidenhq,92,4
cjanosevichr,48,4
kwoodyerhs,75,4
cradinht,92,1
jcreaserhu,58,6
mpreshawhv,98,5
cperlhw,56,4
tbloxsomehx,12,4
mslocumbhy,86,3
ekinnierhz,30,3
djenkeni0,51,5
mtoleri1,70,6
vmarkli2,4,4
cbirdalli3,38,4
rbroomfieldi4,56,3
acoryndoni5,81,4
btrunchioni6,64,4
rsantorinii7,62,5
mbabini8,73,5
smizzeni9,35,4
sbushawayia,63,4
ehullahib,90,3
melcocksic,10,3
lbennellickid,72,3
fnotmanie,34,2
tlorenceif,8,6
tveeversig,77,1
rcrowcumih,71,6
rascoughii,15,2
lechallierij,18,5
ovogtik,90,3
hmassingberdil,53,2
cquinevanim,70,3
bjayin,28,2
bthorouggoodio,23,5
ccheethamip,89,3
kportailiq,3,4
kwonesir,72,6
sfishburnis,3,6
kivashintsovit,94,4
bdevalliu,7,6
cdewickiv,54,3
ksmallcombiw,56,2
srounsefellix,14,4
wcotherilliy,99,2
wwedderburniz,89,5
tkobelj0,85,2
kbrundellj1,27,1
rcrucittij2,78,5
shebbesj3,65,6
iolehanej4,84,1
mmancktelowj5,94,3
pacoryj6,50,6
wmaffettij7,44,2
lshadwickj8,8,3
mpinnerj9,61,1
pallsoppja,33,5
mmignotjb,96,3
tarnaudjc,24,5
oduckersjd,20,1
mtatemje,87,5
vkarranjf,95,3
abrixeyjg,73,6
ebockingsjh,60,2
areimerji,13,5
dceriejj,4,5
dnelmjk,78,2
gauberyjl,34,2
aindejm,44,4
gsommerlyjn,71,4
llauksjo,37,3
swealdjp,46,1
bfaleyjq,16,4
kmaccomiskeyjr,44,6
wpacherjs,7,4
bpurvesjt,17,2
blyfordju,17,4
kfigiovannijv,85,2
chouldjw,82,6
wclowneyjx,88,4
wdillowayjy,50,6
fpurtonjz,30,4
tmollenk0,69,3
tgiovannik1,99,6
golfertk2,78,4
rcoweuppek3,68,5
fprettejohnsk4,59,5
uedmensonk5,41,2
bhessentalerk6,67,3
lkilbornk7,37,2
gblancowek8,11,1
crashk9,78,2
hhabronka,2,5
eaharonikb,25,3
hwhitseykc,66,6
mshawelkd,12,3
bcreboke,36,4
rtandeykf,62,2
bdallmannkg,40,6
mmcrobertskh,5,4
hdraysayki,52,6
rantczakkj,36,4
klowriekk,14,6
sfetteplacekl,9,1
akaaskm,58,1
dferrottikn,95,2
kvanyushkinko,94,3
klightowlerkp,48,4
sdrinkalekq,46,5
stolerkr,76,6
mduchasteauks,49,2
sgoraccikt,11,3
kwyerku,28,4
mfandrichkv,26,1
fchallenorkw,88,6
irimmingtonkx,25,4
cfantiniky,26,6
rduckerskz,16,6
mgerataschl0,64,5
kortl1,38,6
agowryl2,67,2
bmorsonl3,43,5
hmuellerl4,69,4
ncristofolol5,12,5
aocorhanel6,38,3
eredfordl7,26,1
falflatl8,24,3
ratyeol9,85,1
tjoiceyla,90,1
erollolb,41,4
jseerslc,17,6
bkeunekeld,40,2
dfilyaevle,33,2
tedglerlf,61,3
cfratczaklg,52,4
eperrettlh,9,6
calloisili,71,1
bbirtonshawlj,4,6
bgildersleaveslk,100,1
egoldsburyll,44,3
njeffeslm,91,5
jlegonidecln,19,6
twildmanlo,73,6
cundrelllp,63,5
fheadonlq,90,2
kcolebournlr,90,5
gserotls,98,2
vmoncurlt,11,2
jorromlu,73,1
tmoodycliffelv,51,5
aledwithlw,2,4
pcasfordlx,82,5
twarcoply,46,5
mparadycelz,6,2
ccocklandm0,37,6
bgracem1,51,6
mkingsnoadm2,26,3
kdanilyakm3,41,3
bcrottym4,54,2
rstorrorm5,19,1
ffinnemorem6,73,2
odallowm7,32,2
fpostlewhitem8,60,5
ghearnsm9,13,3
kbonhommema,87,3
smanghammb,39,6
lkingdonmc,74,6
hofearguisemd,18,3
fparamoreme,41,3
igorkemf,1,5
icozinsmg,9,6
ntwydellmh,98,2
jpirdymi,14,4
rguittemj,2,5
lserfatimk,51,3
edegregarioml,7,3
egriggmm,13,6
celsymn,39,2
aridgedellmo,81,6
kallchornemp,74,2
bgeraudelmq,94,2
kmityushkinmr,31,1
krunchmanms,84,3
jskowcraftmt,86,3
randriolettimu,26,2
vtriswellmv,15,4
grubinovitschmw,88,1
efronekmx,88,4
sboffeymy,70,2
ggateshillmz,48,4
ybooelnn0,13,1
cwoolcocksn1,25,5
lliebrechtn2,91,3
gdreweryn3,80,4
hdroghann4,17,3
cjacksonn5,22,4
mkeyesn6,39,2
lclosen7,97,6
cpetrakovn8,61,6
wmcramseyn9,22,2
econnerryna,94,1
jfoddennb,79,4
skivellenc,96,1
miowarchnd,11,3
droderigone,38,5
edebiagginf,63,5
aluckettng,64,3
dsalerynh,68,3
jclaigeni,19,6
ghammondnj,92,1
nbilslandnk,9,1
lfochnl,66,3
oherniknm,81,1
jmcilwricknn,87,4
jfrieseno,31,2
ngrievenp,94,1
drozenq,71,3
ghuntressnr,88,6
jbadmanns,32,6
bsaintpierrent,40,5
fsallowayenu,68,6
rbyforthnv,41,5
cberringtonnw,18,3
dthibodeauxnx,98,5
plynskeyny,91,5
gseagrovenz,90,1
landrisso0,80,6
cblackstocko1,66,1
spetraneko2,1,6
dheakeyo3,16,5
thryceko4,35,3
jhettericho5,93,3
zbrameo6,13,5
mdestoucheo7,70,5
priddelo8,30,1
rkitcato9,2,4
rdilaweyoa,66,3
rdurranob,83,2
gcreggoc,42,1
wskedgeod,64,1
rtimmermannoe,59,6
wdumbartonof,44,3
gmalyonog,87,4
kbyshoh,5,6
clivensoi,50,3
lfolksoj,25,6
tkulisok,87,5
adochonol,5,2
fbrighamom,38,2
glantophon,61,4
limasonoo,96,4
gwandop,1,4
ciuoriooq,53,6
crablinor,79,6
llordingos,48,5
jtunderot,87,5
abutchartou,16,1
lzimaov,20,6
tsleichtow,16,4
badkinox,50,4
shuffeyoy,92,3
rsatchelloz,71,6
alomasnap0,83,6
sellulp1,19,5
cllopisp2,48,6
nsehorschp3,76,4
ofinesp4,17,2
lonealp5,39,1
cadairp6,77,6
nfennellyp7,65,6
vmcconwayp8,83,1
rmacleodp9,21,3
cmcgrawpa,16,3
vpourepb,23,1
jsturgesspc,31,1
gbridsonpd,40,6
cformanpe,72,6
cskeenepf,66,2
hlillfordpg,75,2
sapdellph,41,2
mayrispi,52,3
openapj,87,4
cdoegpk,53,2
styerspl,70,3
rstatefieldpm,74,3
sgillisonpn,51,6
tfiorentinopo,23,4
cbroxholmepp,56,1
gneiluspq,10,4
pheightonpr,66,6
bmobbsps,74,6
rassandript,27,1
ajasperpu,34,6
bwernhampv,95,5
hlepperpw,3,5
vmatyushkinpx,50,1
lweinpy,8,5
mvalentepz,62,4
gbosmanq0,5,5
cfolkeq1,81,2
draithbieq2,13,5
rancliffq3,41,3
lkoberaq4,34,6
lkitneyq5,28,1
ascapelhornq6,19,2
rpowerq7,99,1
npamplingq8,36,6
ghofnerq9,87,4
cchasmerqa,66,5
hstannettqb,29,6
gambergqc,69,4
djopeqd,29,2
jenockssonqe,80,6
ewornumqf,39,2
lfossordqg,6,1
jbolderoqh,88,4
sginnetyqi,65,3
nrenadqj,50,3
jdanielutqk,99,5
rfolksql,40,6
tyurchishinqm,60,4
tfranchyonokqn,22,1
brickerqo,88,5
atoxellqp,91,4
iharmstoneqq,5,6
zthickensqr,91,6
ljergerqs,7,5
gknaggesqt,40,3
acheeversqu,25,6
kcupittqv,45,5
ewonfarqw,34,3
csuthernsqx,25,3
jgarberqy,85,2
mdwireqz,24,4
agatherr0,56,6
tcanadasr1,15,4
mfransemair2,75,4
dseftonr3,1,3
singgallr4,51,1
gmonksr5,97,5
fmcclenanr6,97,1
tfranchionir7,12,5
rcleminsonr8,83,5
hkenerr9,10,5
esedgwickra,27,1
lpibworthrb,67,4
ggracewoodrc,20,3
fechrd,59,4
ngommeryre,6,6
abondesenrf,90,3
fcogginsrg,23,1
dwhitsunrh,51,1
htomkinsri,34,6
wlandrickrj,44,5
givanchinrk,54,4
dpazrl,11,2
rleclairerm,45,2
jsiggeryrn,29,2
mmaiklemro,76,3
hgheraldirp,19,3
mleiversrq,45,3
nkingerr,76,2
